"lat","lon","param","floweringTime","freshWeightAtFlowering","leafNumberAtFlowering","hasEmerged","eme","growingTime","baseFloweringTime","baseFreshWeightAtFlowering","baseLeafNumberAtFlowering","baseHasEmerged","baseEme","baseParam","baseGrowingTime","floweringTimeSens","growingTimeSens","leafNumberAtFloweringSens","rosetteWeight","baseRosetteWeight","rosetteWeightSens"
39.75,-4.5,133,936,1.09595,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040184,0.040215,-3.10000000000032e-05
39.75,-4.5,134,936,1.096154,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.04019,0.040215,-2.50000000000042e-05
39.75,-4.5,135,936,1.096749,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040204,0.040215,-1.10000000000041e-05
39.75,-4.5,136,936,1.096976,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040209,0.040215,-5.99999999999906e-06
39.75,-4.5,137,936,1.097494,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040221,0.040215,5.99999999999906e-06
39.75,-4.5,138,936,1.097381,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040218,0.040215,2.99999999999606e-06
39.75,-4.5,139,936,1.097199,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040214,0.040215,-1.000000000001e-06
39.75,-4.5,14,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,140,936,1.097219,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040213,0.040215,-2.000000000002e-06
39.75,-4.5,141,936,1.097076,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040211,0.040215,-4.000000000004e-06
39.75,-4.5,142,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,143,936,1.097621,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040223,0.040215,8.00000000000106e-06
39.75,-4.5,144,936,1.097224,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040216,0.040215,1.000000000001e-06
39.75,-4.5,145,936,1.09728,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040217,0.040215,2.000000000002e-06
39.75,-4.5,146,936,1.097321,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040216,0.040215,1.000000000001e-06
39.75,-4.5,147,936,1.097326,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040217,0.040215,2.000000000002e-06
39.75,-4.5,148,936,1.097206,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040214,0.040215,-1.000000000001e-06
39.75,-4.5,149,936,1.097466,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040219,0.040215,3.99999999999706e-06
39.75,-4.5,15,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,150,936,1.097233,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040214,0.040215,-1.000000000001e-06
39.75,-4.5,151,936,1.097659,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040224,0.040215,9.00000000000206e-06
39.75,-4.5,152,936,1.09748,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.04022,0.040215,4.99999999999806e-06
39.75,-4.5,153,936,1.097258,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,154,936,1.097324,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040217,0.040215,2.000000000002e-06
39.75,-4.5,155,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,156,936,1.097364,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040218,0.040215,2.99999999999606e-06
39.75,-4.5,157,936,1.096676,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040202,0.040215,-1.29999999999991e-05
39.75,-4.5,158,936,1.097613,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040224,0.040215,9.00000000000206e-06
39.75,-4.5,159,936,1.096768,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040205,0.040215,-1.00000000000031e-05
39.75,-4.5,16,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,160,936,1.097384,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040218,0.040215,2.99999999999606e-06
39.75,-4.5,161,936,1.097345,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040218,0.040215,2.99999999999606e-06
39.75,-4.5,162,936,1.097247,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
